106	106	1	Cheese, cheddar or colby type, low-sodium	Miscellaneous
107	107	1	Cheese, cottage, (1% M.F.)	Miscellaneous
108	108	1	Cheese, feta	Miscellaneous
109	109	1	Cheese, gouda	Miscellaneous
110	110	1	Cheese, mozzarella, (52% water, 22.5% M.F.)	Miscellaneous
111	111	1	Cheese, mozzarella, partially skim, (52% water, 16.5% M.F.)	Miscellaneous
112	112	1	Milk, evaporated, skim, canned, undiluted, 0.2% M.F.	Milk
113	113	1	Milk, fluid, whole, pasturized, homogenized, 3.3% M.F.	Milk
114	114	1	Milk, fluid, skim	Milk
115	115	1	Milk, dry, skim, powder, instant	Milk
116	116	14	Hot chocolate, cocoa, homemade, prepared with whole milk	Miscellaneous
117	117	1	Egg substitute, frozen (yolk replaced)	Miscellaneous
118	118	1	Butter, regular	Miscellaneous
119	119	1	Cheese, cheddar	Miscellaneous
120	120	1	Cheese, cottage, (2% M.F.)	Miscellaneous
121	121	1	Cheese, processed, cheddar	Miscellaneous
122	122	1	Coffee whitener (non dairy), powdered	Miscellaneous
123	123	1	Milk, fluid, whole, producer, 3.7% M.F.	Milk
124	124	1	Milk, fluid, buttermilk, cultured, 1% M.F.	Milk
125	125	1	Egg, chicken, whole, fresh or frozen, raw	Miscellaneous
126	126	1	Egg, chicken, white, fresh or frozen, raw	Miscellaneous
127	127	1	Egg, chicken, yolk, fresh or frozen, raw	Miscellaneous
129	129	1	Egg, chicken, whole, fried	Miscellaneous
130	130	1	Egg, chicken, whole, boiled in shell, hard-cooked	Miscellaneous
132	132	1	Egg, chicken, whole, poached	Miscellaneous
133	133	1	Egg, chicken, whole, scrambled or omelet	Miscellaneous
134	134	1	Milk, dry, skim, powder, regular	Milk
136	136	1	Cream, table (coffee), 18% M.F.	Miscellaneous
137	137	1	Cream, whipping, 32% M.F.	Miscellaneous
138	138	1	Cream, whipping, 35% M.F.	Miscellaneous
139	139	1	Cream, sour, cultured, 14% M.F	Miscellaneous
140	140	1	Milk, evaporated, whole, canned, undiluted, 7.8% M.F.	Milk
141	141	1	Yogourt, plain, 2% to 4% M.F.	Yogourt
142	142	1	Yogourt, plain, less than 1% M.F.	Yogourt
143	143	1	Yogourt, coffee and vanilla flavours, 1.9% M.F.	Yogourt
144	144	1	Yogourt, fruit bottom, 1% to 2% M.F.	Yogourt
145	145	1	Yogourt, fruit bottom, less than 1% M.F.	Yogourt
146	146	1	Yogourt, fruit bottom, 2% to 4% M.F.	Yogourt
147	147	1	Cheese, cottage, less than 0.1% M.F.	Miscellaneous
148	148	1	Cheese, cream, reduced calories (20% M.F.)	Miscellaneous
150	150	1	Cream, cereal (half and half), 10% M.F.	Miscellaneous
151	151	1	Cream, table (coffee), 15% M.F.	Miscellaneous
152	152	1	Cream, sour, cultured, 18% M.F.	Miscellaneous
