10|203|8.4
100|203|14.23
1000|203|9.2
1001|203|3.75
1002|203|10.74
1003|203|1.93
1004|203|11.27
1005|203|1.26
1006|203|10
1007|203|9
1008|203|8.78
1009|203|2.6
101|203|10.33
1010|203|10.42
1011|203|13
1012|203|15.42
1014|203|4.6
1016|203|3.5
1017|203|0
102|203|21.44
1020|203|1.76
1025|203|1.54
1026|203|3.77
1027|203|3.84
1028|203|3.99
1029|203|0.51
103|203|22.6
1030|203|1.29
1031|203|2.55
1032|203|2.29
1033|203|3.77
1034|203|3.01
1035|203|3.24
1036|203|2.49
1037|203|2.74
1038|203|2.51
1039|203|2.33
104|203|21.56
1040|203|2.78
1045|203|2.51
1046|203|0.94
1047|203|2.88
1048|203|3.99
1049|203|1.93
105|203|24.35
1050|203|0.68
1051|203|2.19
1052|203|2.02
1053|203|1.41
1054|203|1.08
1055|203|1.27
1056|203|1.45
1057|203|1.5
1058|203|0.85
1059|203|1.55
106|203|24.35
1060|203|2.22
1061|203|1.77
1062|203|0.77
1063|203|0.79
1064|203|1.5
1065|203|1.13
1066|203|0.87
1067|203|0.72
1068|203|2.03
1069|203|1.11
107|203|12.39
1070|203|1.78
1071|203|0.82
1072|203|1.6
1073|203|1.28
1074|203|0.86
1075|203|1.21
1076|203|0.88
1077|203|2.07
1078|203|0.21
1079|203|0.21
108|203|14.21
1080|203|0.88
1081|203|1.13
1082|203|1.03
1083|203|0.28
1084|203|0.39
1085|203|0.68
1086|203|0.97
1087|203|1.07
1088|203|0.87
1089|203|0.83
109|203|24.94
1090|203|1.75
1091|203|0.66
1092|203|1.11
1093|203|2.83
1094|203|0.93
1095|203|0.79
1096|203|1.16
1097|203|0.73
110|203|22.17
1108|203|0.84
1109|203|2.37
111|203|24.26
1110|203|1.8
1112|203|0.92
1116|203|6.54
1117|203|4.62
1118|203|7.68
1119|203|4.45
112|203|7.55
1120|203|7.48
1121|203|1.61
1122|203|4.97
1123|203|2.49
1124|203|3.2
1125|203|4.08
1126|203|2.23
1127|203|0.32
1128|203|0.79
113|203|3.15
1130|203|0.369
1131|203|1.008
1132|203|0.6
1133|203|0
1135|203|5.9
1139|203|14.24
114|203|3.37
1140|203|14.03
1141|203|15.3
1142|203|14.3
1143|203|14.1
1144|203|18.01
1145|203|24.1
1146|203|22.9
1147|203|12.23
1148|203|18.85
1149|203|16.6
115|203|35.1
1150|203|16.28
1151|203|8.68
1152|203|14.25
1153|203|11.1
1154|203|17.94
1155|203|12.5
1156|203|12.59
1157|203|11.8
1158|203|16.3
1159|203|13.45
116|203|3.64
1160|203|11.4
1161|203|14.2
